TIMESTAMP;ECG;EDA;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
1555652000;0.002924483108909769;8.5569580078125;0.0;0.0;0.0;0.0;0.0;0.879;0.121;0.0
1555652001;0.010416891228538365;8.6663818359375;0.0;0.0;0.0;0.0;0.0;0.951;0.048;0.0
1555652002;-0.005441664241524345;8.69140625;0.0;0.0;0.0;0.0;0.0;0.98;0.02;0.0
1555652003;-0.004127324299338684;8.83665771484375;0.0;0.0;0.0;0.0;0.0;0.904;0.095;0.0
1555652004;-0.0011294119654198778;8.971423339843748;0.0;0.0;0.0;0.0;0.0;0.8640000000000001;0.135;0.0
1555652005;0.002026517395576355;8.92587890625;0.0;0.0;0.0;0.0;0.0;0.893;0.107;0.0
1555652006;-0.002017793619294548;8.884716796875;0.0;0.0;0.0;0.0;0.0;0.8809999999999999;0.11800000000000001;0.0
1555652007;0.009014767310280787;8.83372802734375;0.0;0.0;0.0;0.0;0.0;0.882;0.11699999999999999;0.0
1555652008;-0.004920883300104508;8.83597412109375;0.0;0.0;0.0;0.0;0.0;0.946;0.054000000000000006;0.0
1555652009;-0.01436663824927917;8.76845703125;0.0;0.0;0.0;0.0;0.0;0.973;0.027000000000000003;0.0
1555652010;0.006138975639419316;8.76656494140625;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.046;0.0
1555652011;-0.0009217962011289217;8.79422607421875;0.0;0.0;0.0;0.0;0.0;0.961;0.039;0.0
1555652013;-0.0003029790872898925;8.799609375;0.0;0.0;0.0;0.0;0.0;0.98;0.019;0.0
1555652014;3.631119451889885e-05;8.7650634765625;0.0;0.0;0.0;0.0;0.0;0.9840000000000001;0.015;0.0
1555652015;0.007066661037485307;8.7240478515625;0.0;0.0;0.0;0.0;0.0;0.9440000000000001;0.055999999999999994;0.0
1555652016;-0.001772262736739703;8.66793212890625;0.0;0.0;0.0;0.0;0.0;0.883;0.11699999999999999;0.0
1555652017;0.0008001163358772607;8.6669921875;0.0;0.0;0.0;0.0;0.0;0.9440000000000001;0.055;0.0
1555652018;0.00336064202276755;8.6669921875;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
1555652019;-0.0020004756970336108;8.66162109375;0.0;0.0;0.0;0.0;0.0;0.9590000000000001;0.04;0.0
1555652020;-0.00471605774824765;8.84176025390625;0.0;0.0;0.0;0.0;0.0;0.956;0.043;0.0
1555652021;0.008806801041920305;8.993115234375;0.0;0.0;0.0;0.0;0.0;0.971;0.027999999999999997;0.0
1555652022;-0.010018783906988616;9.053369140625;0.0;0.0;0.0;0.0;0.0;0.9490000000000001;0.051;0.0
1555652023;0.0020432641414760595;9.00439453125;0.0;0.0;0.0;0.0;0.0;0.981;0.018000000000000002;0.0
1555652024;0.010338252242884446;8.92244873046875;0.0;0.0;0.0;0.0;0.0;0.99;0.01;0.0
1555652025;-0.014377303199754396;8.8622802734375;0.0;0.0;0.0;0.0;0.0;0.9940000000000001;0.005;0.0
1555652026;-0.002912788678713955;8.82626953125;0.0;0.0;0.0;0.0;0.0;0.9470000000000001;0.053;0.0
1555652027;0.0066481458236091395;8.822314453125;0.0;0.0;0.0;0.0;0.0;0.991;0.009000000000000001;0.0
1555652028;-0.00012016668514273533;8.83341064453125;0.0;0.0;0.0;0.0;0.0;0.988;0.012;0.0
1555652029;0.003267218075224872;8.8134765625;0.0;0.0;0.0;0.0;0.0;0.988;0.012;0.0
1555652030;0.0037542397013200423;8.7888916015625;0.0;0.0;0.0;0.0;0.0;0.9890000000000001;0.011000000000000001;0.0
1555652031;-0.007600516695847629;8.76365966796875;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
1555652032;-0.0026308336253475038;8.94407958984375;0.0;0.0;0.0;0.0;0.0;0.978;0.022000000000000002;0.0
1555652034;-0.006532455749703098;8.921728515625;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
1555652035;0.01027879851628943;8.901220703125;0.0;0.0;0.0;0.0;0.0;0.963;0.036000000000000004;0.0
1555652036;-0.0014914758960118658;8.859191894531248;0.0;0.0;0.0;0.0;0.0;0.97;0.028999999999999998;0.0
