TIMESTAMP;ECG;EDA;COND;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
1555651960;-0.0020095603829390096;8.354187011718748;space;0.0;0.0;0.0;0.0;0.0;0.9620000000000001;0.038;0.0
1555651961;0.0007829419870461251;8.333349609375;space;0.0;0.001;0.0;0.0;0.0;0.905;0.095;0.0
1555651962;0.00029643602098182003;8.33516845703125;space;0.0;0.001;0.0;0.0;0.0;0.9;0.098;0.0
1555651963;-0.002352614010669591;8.4404296875;space;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
1555651964;0.0034565481228170654;8.64967041015625;space;0.0;0.001;0.0;0.0;0.0;0.7509999999999999;0.247;0.0
1555651965;-0.0005155807940184386;8.85543212890625;space;0.0;0.0;0.0;0.0;0.0;0.956;0.043;0.0
1555651966;-0.00014235791684188162;8.9290771484375;space;0.0;0.0;0.0;0.0;0.0;0.993;0.006999999999999999;0.0
1555651967;0.0030120313733965226;8.886767578125;space;0.0;0.0;0.0;0.0;0.0;0.975;0.025;0.0
1555651968;-0.0010708103294342379;8.831787109375;space;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.046;0.0
1555651969;-0.001362480314573695;8.79970703125;space;0.0;0.0;0.0;0.0;0.0;0.9359999999999999;0.063;0.0
1555651970;0.004678406640450822;8.7653564453125;space;0.0;0.0;0.0;0.0;0.0;0.95;0.05;0.0
1555651971;-0.006145813584153776;8.8206787109375;space;0.0;0.0;0.0;0.0;0.0;0.932;0.068;0.0
1555651973;-0.01043619999565106;8.92864990234375;space;0.0;0.0;0.0;0.0;0.0;0.96;0.039;0.0
1555651974;-0.0029778922259029424;8.8632568359375;space;0.0;0.0;0.0;0.0;0.0;0.9490000000000001;0.051;0.0
1555651975;0.00037372602469135265;8.8270751953125;space;0.0;0.0;0.0;0.0;0.0;0.951;0.049;0.0
1555651976;-0.003498293690360875;8.7985107421875;space;0.0;0.001;0.0;0.0;0.0;0.887;0.11199999999999999;0.0
1555651977;0.0015394272339136785;8.77723388671875;space;0.0;0.001;0.0;0.0;0.0;0.9279999999999999;0.071;0.0
1555651978;-0.0012382870732976273;8.8126220703125;space;0.0;0.0;0.0;0.0;0.0;0.982;0.018000000000000002;0.0
1555651979;0.003195755992638767;8.806689453125;space;0.0;0.001;0.0;0.0;0.0;0.9329999999999999;0.066;0.0
1555651980;0.0014753090169994632;8.76766357421875;space;0.0;0.0;0.0;0.0;0.0;0.9390000000000001;0.061;0.0
1555651981;0.0034339711095592467;8.82286376953125;space;0.0;0.0;0.0;0.0;0.0;0.9790000000000001;0.021;0.0
1555651982;-0.002684009262416786;8.89678955078125;space;0.0;0.0;0.0;0.0;0.0;0.987;0.013000000000000001;0.0
1555651983;-0.0001508698870398962;8.8595947265625;space;0.0;0.0;0.0;0.0;0.0;0.9690000000000001;0.031;0.0
1555651984;0.010502912291321956;8.8090087890625;space;0.0;0.0;0.0;0.0;0.0;0.9670000000000001;0.033;0.0
1555651985;-0.014890089410424658;8.78492431640625;space;0.0;0.001;0.0;0.0;0.0;0.917;0.08199999999999999;0.0
1555651986;0.0026825175876347986;8.80369873046875;space;0.0;0.0;0.0;0.0;0.0;0.9640000000000001;0.036000000000000004;0.0
1555651987;0.007679663142344988;8.77177734375;space;0.0;0.0;0.0;0.0;0.0;0.9740000000000001;0.026000000000000002;0.0
1555651988;-0.00985958846814749;8.7646484375;space;0.0;0.0;0.0;0.0;0.001;0.914;0.084;0.0
1555651989;-0.002469751259734744;8.7646484375;space;0.0;0.001;0.0;0.0;0.0;0.982;0.016;0.0
1555651990;0.0012061912407502098;8.737890625;space;0.0;0.001;0.0;0.0;0.0;0.973;0.026000000000000002;0.0
1555651991;0.0004271282346980607;8.69892578125;space;0.0;0.0;0.0;0.0;0.0;0.9890000000000001;0.01;0.0
1555651993;0.00046749220601785486;8.66365966796875;space;0.001;0.001;0.0;0.0;0.0;0.968;0.03;0.0
1555651994;0.004224323556173066;8.63797607421875;space;0.0;0.002;0.0;0.0;0.0;0.937;0.061;0.0
1555651995;-0.0066920701587635965;8.611401367187499;space;0.0;0.0;0.0;0.0;0.0;0.94;0.059000000000000004;0.0
1555651996;0.004905615801239139;8.593749999999998;space;0.0;0.0;0.0;0.0;0.0;0.922;0.077;0.0
1555651997;-0.0023549023286892658;8.593749999999998;space;0.0;0.001;0.0;0.0;0.0;0.932;0.066;0.0
1555651998;0.005448800319669693;8.569970703125;space;0.0;0.001;0.0;0.0;0.0;0.95;0.05;0.0
1555651999;-0.004424859286867558;8.544921875;space;0.0;0.001;0.0;0.0;0.0;0.9279999999999999;0.07;0.0
1555652000;0.0029244831089097686;8.5569580078125;space;0.0;0.0;0.0;0.0;0.0;0.879;0.121;0.0
1555652001;0.010416891228538363;8.6663818359375;space;0.0;0.0;0.0;0.0;0.0;0.951;0.048;0.0
1555652002;-0.0054416642415243445;8.69140625;space;0.0;0.0;0.0;0.0;0.0;0.98;0.02;0.0
1555652003;-0.004127324299338684;8.83665771484375;space;0.0;0.0;0.0;0.0;0.0;0.904;0.095;0.0
1555652004;-0.0011294119654198778;8.971423339843748;space;0.0;0.0;0.0;0.0;0.0;0.8640000000000001;0.135;0.0
1555652005;0.002026517395576355;8.92587890625;space;0.0;0.0;0.0;0.0;0.0;0.893;0.107;0.0
1555652006;-0.0020177936192945474;8.884716796875;space;0.0;0.0;0.0;0.0;0.0;0.8809999999999999;0.11800000000000001;0.0
1555652007;0.009014767310280787;8.83372802734375;space;0.0;0.0;0.0;0.0;0.0;0.882;0.11699999999999999;0.0
1555652008;-0.004920883300104508;8.83597412109375;space;0.0;0.0;0.0;0.0;0.0;0.946;0.054000000000000006;0.0
1555652009;-0.014366638249279168;8.76845703125;space;0.0;0.0;0.0;0.0;0.0;0.973;0.027000000000000003;0.0
1555652010;0.006138975639419316;8.76656494140625;space;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.046;0.0
1555652011;-0.0009217962011289217;8.79422607421875;space;0.0;0.0;0.0;0.0;0.0;0.961;0.039;0.0
1555652013;-0.0003029790872898925;8.799609375;space;0.0;0.0;0.0;0.0;0.0;0.98;0.019;0.0
1555652014;3.631119451889885e-05;8.7650634765625;space;0.0;0.0;0.0;0.0;0.0;0.9840000000000001;0.015;0.0
1555652015;0.007066661037485307;8.7240478515625;space;0.0;0.0;0.0;0.0;0.0;0.9440000000000001;0.055999999999999994;0.0
1555652016;-0.0017722627367397032;8.66793212890625;space;0.0;0.0;0.0;0.0;0.0;0.883;0.11699999999999999;0.0
1555652017;0.0008001163358772607;8.6669921875;space;0.0;0.0;0.0;0.0;0.0;0.9440000000000001;0.055;0.0
1555652018;0.00336064202276755;8.6669921875;space;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
