TIMESTAMP;ECG;EDA;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
1555653780;-0.022396718597735645;8.2811767578125;0.0;0.001;0.0;0.0;0.0;0.893;0.106;0.0
1555653781;0.01575516215119252;8.29788818359375;0.0;0.0;0.0;0.0;0.0;0.9279999999999999;0.07200000000000001;0.0
1555653782;-0.005521027040057789;8.3155029296875;0.0;0.0;0.0;0.0;0.003;0.951;0.046;0.0
1555653783;-0.00047598527434047596;8.29837646484375;0.0;0.0;0.0;0.0;0.0;0.858;0.142;0.0
1555653784;0.0014716818323766213;8.2324462890625;0.0;0.0;0.0;0.0;0.0;0.9329999999999999;0.067;0.0
1555653785;-0.0049754699246856255;8.20633544921875;0.0;0.0;0.0;0.0;0.0;0.884;0.115;0.0
1555653786;0.0010318495729352048;8.2324462890625;0.0;0.0;0.0;0.0;0.0;0.74;0.26;0.0
1555653787;-0.0026285603314273663;8.231494140625;0.0;0.0;0.0;0.0;0.0;0.889;0.111;0.0
1555653788;-0.011266802895296229;8.2098876953125;0.0;0.0;0.0;0.0;0.0;0.929;0.071;0.0
1555653789;0.016868823401836402;8.195263671875;0.0;0.0;0.0;0.0;0.001;0.7979999999999999;0.2;0.0
1555653790;0.003042852706308952;8.201904296875;0.0;0.0;0.0;0.0;0.0;0.9520000000000001;0.047;0.0
1555653791;-0.008313734069788331;8.18682861328125;0.0;0.0;0.0;0.0;0.0;0.9590000000000001;0.04;0.0
1555653792;0.012771313778039995;8.1787109375;0.0;0.0;0.0;0.0;0.0;0.963;0.037000000000000005;0.0
1555653793;-0.005799857410305483;8.18011474609375;0.0;0.0;0.0;0.0;0.0;0.976;0.024;0.0
1555653794;-0.002983902002144009;8.2435546875;0.0;0.0;0.0;0.0;0.0;0.99;0.01;0.0
1555653795;-0.005130673168485567;8.33341064453125;0.0;0.0;0.0;0.0;0.003;0.987;0.01;0.0
1555653797;-0.0019424678892546203;8.356359863281249;0.0;0.0;0.0;0.0;0.002;0.98;0.018000000000000002;0.0
1555653798;0.012464758834504607;8.3298583984375;0.0;0.0;0.0;0.0;0.0;0.988;0.011000000000000001;0.0
1555653927;0.0003782307037660559;7.3995239257812475;0.0;0.0;0.0;0.0;0.0;0.938;0.062;0.0
1555653928;0.006225551722294898;7.4207641601562475;0.0;0.0;0.0;0.0;0.0;0.972;0.027000000000000003;0.0
1555653929;0.013380099006460686;7.400244140624999;0.0;0.001;0.0;0.0;0.004;0.858;0.136;0.0
1555653930;0.002761066044148716;7.354516601562499;0.0;0.001;0.0;0.0;0.011000000000000001;0.9390000000000001;0.048;0.0
1555653931;-0.011391007066764984;7.32421875;0.0;0.001;0.0;0.0;0.0;0.861;0.13699999999999998;0.0
1555653932;-0.0029733659771386525;7.34024658203125;0.0;0.0;0.0;0.0;0.001;0.722;0.276;0.0
1555653933;0.0005961972777156454;7.3121826171875;0.0;0.0;0.0;0.0;0.0;0.653;0.34600000000000003;0.0
1555653934;0.004530879836284568;7.297949218749999;0.0;0.0;0.0;0.0;0.0;0.8340000000000001;0.165;0.0
1555653935;-0.0042368950409000464;7.3093505859375;0.0;0.001;0.0;0.0;0.0;0.784;0.215;0.0
1555653936;-0.0027954039539779827;7.299743652343749;0.0;0.0;0.0;0.0;0.0;0.86;0.14;0.0
1555653955;-0.0010532130241545953;7.0378173828125;0.0;0.0;0.0;0.0;0.0;0.91;0.08900000000000001;0.0
1555653956;0.0015551165224463282;6.998132324218749;0.0;0.0;0.0;0.0;0.0;0.914;0.086;0.0
1555653957;0.0011045810851161124;6.9712158203125;0.0;0.0;0.0;0.0;0.0;0.867;0.132;0.0
1555653958;0.0006375339615637321;6.95140380859375;0.0;0.0;0.0;0.0;0.0;0.9620000000000001;0.037000000000000005;0.0
1555653959;-0.0009112758534318913;6.95164794921875;0.0;0.0;0.0;0.0;0.0;0.9790000000000001;0.021;0.0
1555653960;2.523487523017612e-05;6.9340698242187475;0.0;0.0;0.0;0.0;0.0;0.9590000000000001;0.040999999999999995;0.0
1555653961;0.00328350039425922;6.92847900390625;0.0;0.0;0.0;0.0;0.0;0.9570000000000001;0.042;0.0
1555653962;0.014741642363563238;6.921215820312499;0.0;0.0;0.0;0.0;0.0;0.903;0.096;0.0
1555653963;0.00300088484838346;6.917504882812499;0.0;0.0;0.0;0.0;0.0;0.976;0.023;0.0
1555653964;0.003663538737493928;6.8824951171874975;0.0;0.0;0.0;0.0;0.0;0.9690000000000001;0.031;0.0
1555653965;-0.024695275452631928;6.82105712890625;0.0;0.0;0.0;0.0;0.0;0.9520000000000001;0.047;0.0
1555653966;0.02097125829359136;6.83121337890625;0.0;0.0;0.0;0.0;0.0;0.9740000000000001;0.025;0.0
1555653967;-0.007439461158038403;6.7879516601562475;0.0;0.0;0.0;0.0;0.0;0.889;0.111;0.0
1555653968;0.008075755454553676;6.81641845703125;0.0;0.0;0.0;0.0;0.0;0.903;0.09699999999999999;0.0
1555653969;-0.009524216175652809;6.80050048828125;0.001;0.005;0.0;0.0;0.0;0.684;0.31;0.0
1555653970;0.0032668948779825536;6.7860473632812495;0.001;0.016;0.0;0.0;0.001;0.8909999999999999;0.091;0.0
1555653971;-0.00044538477292048445;6.72652587890625;0.0;0.031;0.0;0.0;0.025;0.902;0.042;0.0
1555653972;0.0032595098384587268;6.70504150390625;0.0;0.002;0.0;0.0;0.0;0.728;0.27;0.0
1555653973;-0.009088403336081557;6.71607666015625;0.0;0.005;0.0;0.0;0.0;0.797;0.19699999999999998;0.0
