;ECG;EDA;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
0;-0.0020095603829390096;8.354187011718748;0.0;0.0;0.0;0.0;0.0;0.9620000000000001;0.038;0.0
1;0.0007829419870461251;8.333349609375;0.0;0.001;0.0;0.0;0.0;0.905;0.095;0.0
2;0.00029643602098182003;8.33516845703125;0.0;0.001;0.0;0.0;0.0;0.9;0.098;0.0
3;-0.002352614010669591;8.4404296875;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
4;0.003456548122817065;8.64967041015625;0.0;0.001;0.0;0.0;0.0;0.7509999999999999;0.247;0.0
5;-0.0005155807940184386;8.85543212890625;0.0;0.0;0.0;0.0;0.0;0.956;0.043;0.0
6;-0.00014235791684188162;8.9290771484375;0.0;0.0;0.0;0.0;0.0;0.993;0.006999999999999999;0.0
7;0.0030120313733965226;8.886767578125;0.0;0.0;0.0;0.0;0.0;0.975;0.025;0.0
8;-0.001070810329434238;8.831787109375;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.046;0.0
9;-0.001362480314573695;8.79970703125;0.0;0.0;0.0;0.0;0.0;0.9359999999999999;0.063;0.0
10;0.004678406640450822;8.7653564453125;0.0;0.0;0.0;0.0;0.0;0.95;0.05;0.0
11;-0.006145813584153776;8.8206787109375;0.0;0.0;0.0;0.0;0.0;0.932;0.068;0.0
12;-0.01043619999565106;8.92864990234375;0.0;0.0;0.0;0.0;0.0;0.96;0.039;0.0
13;-0.0029778922259029424;8.8632568359375;0.0;0.0;0.0;0.0;0.0;0.9490000000000001;0.051;0.0
14;0.0003737260246913528;8.8270751953125;0.0;0.0;0.0;0.0;0.0;0.951;0.049;0.0
15;-0.003498293690360875;8.7985107421875;0.0;0.001;0.0;0.0;0.0;0.887;0.11199999999999999;0.0
16;0.0015394272339136785;8.77723388671875;0.0;0.001;0.0;0.0;0.0;0.9279999999999999;0.071;0.0
17;-0.0012382870732976273;8.8126220703125;0.0;0.0;0.0;0.0;0.0;0.982;0.018000000000000002;0.0
18;0.0031957559926387674;8.806689453125;0.0;0.001;0.0;0.0;0.0;0.9329999999999999;0.066;0.0
19;0.0014753090169994632;8.76766357421875;0.0;0.0;0.0;0.0;0.0;0.9390000000000001;0.061;0.0
20;0.0034339711095592467;8.82286376953125;0.0;0.0;0.0;0.0;0.0;0.9790000000000001;0.021;0.0
21;-0.002684009262416786;8.89678955078125;0.0;0.0;0.0;0.0;0.0;0.987;0.013000000000000001;0.0
22;-0.0001508698870398962;8.8595947265625;0.0;0.0;0.0;0.0;0.0;0.9690000000000001;0.031;0.0
23;0.010502912291321956;8.8090087890625;0.0;0.0;0.0;0.0;0.0;0.9670000000000001;0.033;0.0
24;-0.01489008941042466;8.78492431640625;0.0;0.001;0.0;0.0;0.0;0.917;0.08199999999999999;0.0
25;0.0026825175876347986;8.80369873046875;0.0;0.0;0.0;0.0;0.0;0.9640000000000001;0.036000000000000004;0.0
26;0.007679663142344987;8.77177734375;0.0;0.0;0.0;0.0;0.0;0.9740000000000001;0.026000000000000002;0.0
27;-0.00985958846814749;8.7646484375;0.0;0.0;0.0;0.0;0.001;0.914;0.084;0.0
28;-0.002469751259734744;8.7646484375;0.0;0.001;0.0;0.0;0.0;0.982;0.016;0.0
29;0.0012061912407502098;8.737890625;0.0;0.001;0.0;0.0;0.0;0.973;0.026000000000000002;0.0
30;0.0004271282346980607;8.69892578125;0.0;0.0;0.0;0.0;0.0;0.9890000000000001;0.01;0.0
31;0.00046749220601785486;8.66365966796875;0.001;0.001;0.0;0.0;0.0;0.968;0.03;0.0
32;0.0042243235561730645;8.63797607421875;0.0;0.002;0.0;0.0;0.0;0.937;0.061;0.0
33;-0.0066920701587635965;8.611401367187499;0.0;0.0;0.0;0.0;0.0;0.94;0.059000000000000004;0.0
34;0.004905615801239139;8.593749999999998;0.0;0.0;0.0;0.0;0.0;0.922;0.077;0.0
35;-0.0023549023286892658;8.593749999999998;0.0;0.001;0.0;0.0;0.0;0.932;0.066;0.0
36;0.005448800319669693;8.569970703125;0.0;0.001;0.0;0.0;0.0;0.95;0.05;0.0
37;-0.004424859286867558;8.544921875;0.0;0.001;0.0;0.0;0.0;0.9279999999999999;0.07;0.0
38;0.002924483108909769;8.5569580078125;0.0;0.0;0.0;0.0;0.0;0.879;0.121;0.0
39;0.010416891228538365;8.6663818359375;0.0;0.0;0.0;0.0;0.0;0.951;0.048;0.0
40;-0.005441664241524345;8.69140625;0.0;0.0;0.0;0.0;0.0;0.98;0.02;0.0
41;-0.004127324299338684;8.83665771484375;0.0;0.0;0.0;0.0;0.0;0.904;0.095;0.0
42;-0.0011294119654198778;8.971423339843748;0.0;0.0;0.0;0.0;0.0;0.8640000000000001;0.135;0.0
43;0.002026517395576355;8.92587890625;0.0;0.0;0.0;0.0;0.0;0.893;0.107;0.0
44;-0.002017793619294548;8.884716796875;0.0;0.0;0.0;0.0;0.0;0.8809999999999999;0.11800000000000001;0.0
45;0.009014767310280787;8.83372802734375;0.0;0.0;0.0;0.0;0.0;0.882;0.11699999999999999;0.0
46;-0.004920883300104508;8.83597412109375;0.0;0.0;0.0;0.0;0.0;0.946;0.054000000000000006;0.0
47;-0.01436663824927917;8.76845703125;0.0;0.0;0.0;0.0;0.0;0.973;0.027000000000000003;0.0
48;0.006138975639419316;8.76656494140625;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.046;0.0
49;-0.0009217962011289217;8.79422607421875;0.0;0.0;0.0;0.0;0.0;0.961;0.039;0.0
